JobTitle,BasePay,OvertimePay,OtherPay,Benefits,TotalPay,TotalPay&Benefits,Year,Agency
Fire Engineer,89629.41,41316.9,17326.78,78612.98,148273.09,226886.07,2015,North Las Vegas
Fire Captain,99898.05,37406.41,9619.2,79851.21,146923.66,226774.87,2015,North Las Vegas
Marshal Sergeant,55004.05,4291.44,103472.23,63038.37,162767.72,225806.09,2015,North Las Vegas
Police Officer,91712.69,17220.67,24631.06,90978.95,133564.42,224543.37,2015,North Las Vegas
Fire Captain,101326.86,24716.38,15510.18,82059.14,141553.42,223612.56,2015,North Las Vegas
Fire Captain,101326.84,25709.91,14195.03,82066.01,141231.78,223297.79,2015,North Las Vegas
Police Sergeant,104376.91,12024.73,14917.83,91346.41,131319.47,222665.88,2015,North Las Vegas
Police Sergeant,100347.75,12307.61,18237.08,91104.92,130892.44,221997.36,2015,North Las Vegas
Principal Benefits Analyst,51310.07,0,133619.57,36578.53,184929.64,221508.17,2015,North Las Vegas
Fire Captain,19485.92,29.51,163240.17,37596.75,182755.6,220352.35,2015,North Las Vegas
Municipal Judge,150681.44,0,3000,65813.42,153681.44,219494.86,2015,North Las Vegas
Police Officer,81318,20333.93,30088.06,87711.53,131739.99,219451.52,2015,North Las Vegas
Fire Captain,97179.77,16629.79,22301.67,82706.03,136111.23,218817.26,2015,North Las Vegas
Fire Captain,101326.77,29137.72,9019.15,78916.11,139483.64,218399.75,2015,North Las Vegas
Detective,92742.58,17474,18447.37,89380.79,128663.95,218044.74,2015,North Las Vegas
Detective,95940.56,387.2,11829.96,109784.89,108157.72,217942.61,2015,North Las Vegas
Fire Engineer,89629.54,31141.92,18582.17,77662.87,139353.63,217016.5,2015,North Las Vegas
Fire Battalion Chief,122462.99,6982.71,2025.09,84553.57,131470.79,216024.36,2015,North Las Vegas
Marshal Lieutenant,25835.74,309.3,147880.35,41360.53,174025.39,215385.92,2015,North Las Vegas
Police Officer,83757.59,27160.36,19279.79,85028.84,130197.74,215226.58,2015,North Las Vegas
Fire Engineer,89629.45,36244.5,12991.11,76276.03,138865.06,215141.09,2015,North Las Vegas
Police Sergeant,107871.81,6357.16,22255.78,77929.58,136484.75,214414.33,2015,North Las Vegas
Police Officer,84164.15,21199.57,22660.49,86187.92,128024.21,214212.13,2015,North Las Vegas
Police Officer,83757.64,34092.95,12618.02,81642.82,130468.61,212111.43,2015,North Las Vegas
EMS Chief,99361.52,1298.7,26943.96,84053.96,127604.18,211658.14,2015,North Las Vegas
Fire Engineer,89629.53,33144.19,12991.13,75620.21,135764.85,211385.06,2015,North Las Vegas
Fire Captain,101326.78,22734.62,9019.14,78139.43,133080.54,211219.97,2015,North Las Vegas
Fire Engineer,89629.48,37330.81,9619.2,73363.99,136579.49,209943.48,2015,North Las Vegas
Corrections Officer,84571.03,28398.62,14056.86,82815.32,127026.51,209841.83,2015,North Las Vegas
Police Officer,84164.13,19109.13,21333.15,85112.01,124606.41,209718.42,2015,North Las Vegas
Fire Captain,100255.3,21971.55,9769.14,77487.49,131995.99,209483.48,2015,North Las Vegas
Fire Engineer,89629.42,37331.47,9019.08,73270.96,135979.97,209250.93,2015,North Las Vegas
Fire Chief,120192.01,0,4807.68,83979.9,124999.69,208979.59,2015,North Las Vegas
Police Officer,84164.23,26068.59,15548.46,83076.2,125781.28,208857.48,2015,North Las Vegas
Detective,92742.58,20286.5,9975.97,85728.46,123005.05,208733.51,2015,North Las Vegas
Police Officer,82944.33,30944.44,13844.23,80964.57,127733,208697.57,2015,North Las Vegas
Fire Captain,101167.36,7257.91,18587.42,81148.95,127012.69,208161.64,2015,North Las Vegas
Fire Engineer,89325.83,36247.42,9322.74,73137.87,134895.99,208033.86,2015,North Las Vegas
Police Support System Supervisor,100607.99,19874.04,27827.99,59483.76,148310.02,207793.78,2015,North Las Vegas
Fire Engineer,89629.45,34901.86,9919.24,73067.09,134450.55,207517.64,2015,North Las Vegas
Police Officer,83757.56,15077.93,22931.3,85186.71,121766.79,206953.5,2015,North Las Vegas
Fire Engineer,89629.38,29027.89,12935.8,74640.21,131593.07,206233.28,2015,North Las Vegas
Police Officer,75294.52,39181.04,15310.59,76365.84,129786.15,206151.99,2015,North Las Vegas
Chief of Staff,130402.32,0,5054.08,70549.22,135456.4,206005.62,2015,North Las Vegas
Senior Crime Scene Investigator,54823.2,2763.96,87424.8,60944.84,145011.96,205956.8,2015,North Las Vegas
Detective,92285.72,12574.97,15545.02,85470.68,120405.71,205876.39,2015,North Las Vegas
Fire Captain,101326.84,17442.17,9019.14,77284.62,127788.15,205072.77,2015,North Las Vegas
Police Officer,84164.12,26283.12,12891.93,81257.42,123339.17,204596.59,2015,North Las Vegas
Fire Captain,99898.12,18703.88,9134.54,76648.73,127736.54,204385.27,2015,North Las Vegas
Corrections Officer,84083.1,22293.54,15534.84,82392.12,121911.48,204303.6,2015,North Las Vegas
Police Officer,83757.58,7869.04,26618.76,85834.53,118245.38,204079.91,2015,North Las Vegas
Fire Engineer,89629.43,39043.71,4028.16,71347.64,132701.3,204048.94,2015,North Las Vegas
Detective,93656.35,14202.57,11843.56,84338.04,119702.48,204040.52,2015,North Las Vegas
Fire Engineer,89629.41,32352.87,9161.29,72584.29,131143.57,203727.86,2015,North Las Vegas
Fire Engineer,88924.17,31663.38,10223.65,72612.78,130811.2,203423.98,2015,North Las Vegas
Chief Deputy City Attorney,129739.33,0,3945.55,69610.97,133684.88,203295.85,2015,North Las Vegas
Fire Engineer,89294.2,37774.57,4760.08,71213.79,131828.85,203042.64,2015,North Las Vegas
Fire Captain,101326.91,15432.21,9019.14,76969.15,125778.26,202747.41,2015,North Las Vegas
Firefighter Paramedic,89540.46,39498.25,3022.38,70662.79,132061.09,202723.88,2015,North Las Vegas
Detective,92742.68,11084.71,12878.62,84034.31,116706.01,200740.32,2015,North Las Vegas
Corrections Officer,81724.67,14573.91,21433.92,82872.32,117732.5,200604.82,2015,North Las Vegas
Fire Engineer,89629.51,34872.14,4778.12,70771.61,129279.77,200051.38,2015,North Las Vegas
Marshal Sergeant,97579.41,4005.6,12922.64,85447.1,114507.65,199954.75,2015,North Las Vegas
Detective,91372,10569.98,13449.61,83775.71,115391.59,199167.3,2015,North Las Vegas
Detective,90915.14,10209.37,14103.83,83667.73,115228.34,198896.07,2015,North Las Vegas
Fire Captain,101326.9,17439.77,4928.22,75066.22,123694.89,198761.11,2015,North Las Vegas
Court Administrator,125000,0,5000,68642.57,130000,198642.57,2015,North Las Vegas
Police Officer,83757.6,14052.62,18181.85,82504.49,115992.07,198496.56,2015,North Las Vegas
Police Officer,80775.59,19564.15,17593.07,79848.63,117932.81,197781.44,2015,North Las Vegas
Police Officer,82112.77,22197.75,13920.45,79475.05,118230.97,197706.02,2015,North Las Vegas
Fire Investigator,87909.1,21459.39,14539,73791.13,123907.49,197698.62,2015,North Las Vegas
Detective,91828.86,10382.05,12212.61,82977.11,114423.52,197400.63,2015,North Las Vegas
Fire Engineer,89629.51,32846.67,4268.13,70516.97,126744.31,197261.28,2015,North Las Vegas
Manager Planning,118354.02,0,17042.52,61130.83,135396.54,196527.37,2015,North Las Vegas
Development and Flood Control Manager,118945.74,0,16355.99,61096.22,135301.73,196397.95,2015,North Las Vegas
Corrections Officer,81744.91,11902.06,20530.94,82070.94,114177.91,196248.85,2015,North Las Vegas
Manager Construction Services,118351.94,0,16781.91,61009.54,135133.85,196143.39,2015,North Las Vegas
Police Officer,80775.58,15986.34,18893.29,80443.26,115655.21,196098.47,2015,North Las Vegas
Police Officer,83757.53,16513.7,14939.9,80573.33,115211.13,195784.46,2015,North Las Vegas
Manager Infrastructure Maintenance,118353.96,0,16332.21,60864,134686.17,195550.17,2015,North Las Vegas
Detective,92285.72,5234.72,14211.08,83781.49,111731.52,195513.01,2015,North Las Vegas
Firefighter Paramedic,89054.58,35333.8,2025.09,68954.76,126413.47,195368.23,2015,North Las Vegas
Fire Engineer,89629.49,30554.55,4928.26,70171.58,125112.3,195283.88,2015,North Las Vegas
Police Officer,84164.16,18207.19,12470.04,80348.18,114841.39,195189.57,2015,North Las Vegas
Detective,92285.76,1319.64,16818.05,84693.12,110423.45,195116.57,2015,North Las Vegas
Fire Captain,101326.88,7977.35,9619.2,76047.95,118923.43,194971.38,2015,North Las Vegas
Police Officer,82537.76,10202.96,19477.2,81708.76,112217.92,193926.68,2015,North Las Vegas
Police Officer,74059.03,17565.25,24000.13,77849.23,115624.41,193473.64,2015,North Las Vegas
Police Officer,81568.95,16856.67,16024.64,78841.58,114450.26,193291.84,2015,North Las Vegas
Senior Deputy City Attorney,120757.93,0,5580.32,66899.03,126338.25,193237.28,2015,North Las Vegas
Police Officer,83350.95,10031.66,18517.65,80924.35,111900.26,192824.61,2015,North Las Vegas
Police Officer,74800.39,29151.34,14806.94,74064.82,118758.67,192823.49,2015,North Las Vegas
Firefighter Paramedic,89000.59,33864.92,1245.1,68624.85,124110.61,192735.46,2015,North Las Vegas
Police Officer,82509.37,5329.28,22772.08,81862.26,110610.73,192472.99,2015,North Las Vegas
Police Officer,83351.04,20861.41,10304.34,77929.33,114516.79,192446.12,2015,North Las Vegas
Director of Business Development,119290.52,0,4747.58,68005.41,124038.1,192043.51,2015,North Las Vegas
Detective,92285.69,11839.62,21037.93,66841.95,125163.24,192005.19,2015,North Las Vegas
Police Officer,84164.17,10840.24,15803.07,81136.6,110807.48,191944.08,2015,North Las Vegas
Director of Community Development & Compliance,120192,0,4807.68,66734.81,124999.68,191734.49,2015,North Las Vegas
Director of Finance,120192.01,0,4807.68,66710.18,124999.69,191709.87,2015,North Las Vegas
Detective,92285.74,4818.96,12091.3,82317.73,109196,191513.73,2015,North Las Vegas
Director of Utilities,120000,0,4800,66676.25,124800,191476.25,2015,North Las Vegas
Police Officer,75661.76,8059.54,28474.44,79267.66,112195.74,191463.4,2015,North Las Vegas
Fire Engineer,89065.34,27830.96,4694.16,69699.61,121590.46,191290.07,2015,North Las Vegas
Corrections Officer,84570.99,11434.45,14890.35,80276.69,110895.79,191172.48,2015,North Las Vegas
Police Officer,81172.25,8452.53,20834.85,80701.09,110459.63,191160.72,2015,North Las Vegas
Police Officer,75294.52,17350.65,22171.97,76335.53,114817.14,191152.67,2015,North Las Vegas
Police Officer,83350.95,12281.21,15389.55,80122.4,111021.71,191144.11,2015,North Las Vegas
Corrections Officer,83595.17,14142.38,13724.92,79491.9,111462.47,190954.37,2015,North Las Vegas
Senior Deputy City Attorney,65524.79,0,83031.16,42026.32,148555.95,190582.27,2015,North Las Vegas
Police Officer,83757.69,8473.6,17098.28,81245.52,109329.57,190575.09,2015,North Las Vegas
Police Officer,84164.21,17545.4,10158.87,78429.94,111868.48,190298.42,2015,North Las Vegas
Police Officer,82944.43,5337.73,32942.78,69036.53,121224.94,190261.47,2015,North Las Vegas
Police Officer,75661.74,6448.72,28765.44,79181.32,110875.9,190057.22,2015,North Las Vegas
Detective,92742.58,2373.21,12214.54,82627.47,107330.33,189957.8,2015,North Las Vegas
Fire Engineer,89629.43,19687.24,9619.18,71007.35,118935.85,189943.2,2015,North Las Vegas
Fire Engineer,89629.54,26482.84,4268.07,69538.87,120380.45,189919.32,2015,North Las Vegas
Firefighter Paramedic,90537.91,27731.84,2108.6,69013.97,120378.35,189392.32,2015,North Las Vegas
Fire Engineer,89629.48,13755.59,12991.13,72915.46,116376.2,189291.66,2015,North Las Vegas
Firefighter Paramedic,86177.24,34475.25,1125,67299.4,121777.49,189076.89,2015,North Las Vegas
Police Officer,84570.7,10353.09,27705.51,66364.77,122629.3,188994.07,2015,North Las Vegas
Deputy City Attorney II,118354,0,4734.16,65880.76,123088.16,188968.92,2015,North Las Vegas
Deputy City Attorney II,118353.93,0,4734.16,65880.76,123088.09,188968.85,2015,North Las Vegas
Deputy City Attorney II,118354,0,4734.16,65873.86,123088.16,188962.02,2015,North Las Vegas
Firefighter Paramedic,90537.9,28326.56,1125,68968.42,119989.46,188957.88,2015,North Las Vegas
Police Officer,84164.11,15560.52,11331.13,77841.92,111055.76,188897.68,2015,North Las Vegas
Detective,92285.72,6504.79,9158.5,80867.94,107949.01,188816.95,2015,North Las Vegas
Police Officer,84164.18,20352.59,7299.6,76971.88,111816.37,188788.25,2015,North Las Vegas
Firefighter Paramedic,90537.84,28123.21,1125,68957.96,119786.05,188744.01,2015,North Las Vegas
Deputy Fire Marshal,120513.23,1094.47,1125.1,65903.01,122732.8,188635.81,2015,North Las Vegas
Police Officer,76029.05,24896.77,27585.79,59717.03,128511.61,188228.64,2015,North Las Vegas
Public Works Director City Engineer,117575.09,0,4730.68,65704.87,122305.77,188010.64,2015,North Las Vegas
Police Officer,84164.11,14105.49,11027.6,78330.3,109297.2,187627.5,2015,North Las Vegas
Police Officer,74038.97,6219.41,28476.59,78376.49,108734.97,187111.46,2015,North Las Vegas
Firefighter Paramedic,90537.8,26326.61,1125,68777.28,117989.41,186766.69,2015,North Las Vegas
Police Lieutenant,23315.18,422.05,126261.02,36765.91,149998.25,186764.16,2015,North Las Vegas
Fire Captain,87594.76,27871.35,3553.96,67603.94,119020.07,186624.01,2015,North Las Vegas
Fire Captain,93761.09,5831.56,13393.66,73589.81,112986.31,186576.12,2015,North Las Vegas
Police Officer,74175.09,5950.86,28376.88,77951.2,108502.83,186454.03,2015,North Las Vegas
Firefighter Paramedic,87901.82,28742.49,2025.09,67586.94,118669.4,186256.34,2015,North Las Vegas
Police Sergeant,12816.48,1315.76,136024.62,35907.15,150156.86,186064.01,2015,North Las Vegas
Police Officer,82944.37,15519.07,10143.3,77195.39,108606.74,185802.13,2015,North Las Vegas
Detective,91904.23,1299.19,11503.69,80521.69,104707.11,185228.8,2015,North Las Vegas
Police Officer,82509.43,13919.24,11759.39,76885.57,108188.06,185073.63,2015,North Las Vegas
Firefighter Paramedic,82013.37,36678.52,1125,65211.69,119816.89,185028.58,2015,North Las Vegas
Police Officer,84164.12,13206.91,9752.28,77740.61,107123.31,184863.92,2015,North Las Vegas
Police Officer,84570.72,14163.52,8454.98,77378.57,107189.22,184567.79,2015,North Las Vegas
Police Officer,73807.81,5232.63,27758.1,77629.34,106798.54,184427.88,2015,North Las Vegas
Police Officer,83350.97,15419.18,9047.78,76546.76,107817.93,184364.69,2015,North Las Vegas
Fire Engineer,89629.5,21706.61,4028.16,68904.12,115364.27,184268.39,2015,North Las Vegas
Detective,91828.86,814.99,10617.48,80699.98,103261.33,183961.31,2015,North Las Vegas
Fire Engineer,89629.47,21371.37,4028.17,68783.63,115029.01,183812.64,2015,North Las Vegas
Fire Engineer,86526.47,16449.02,10646.71,69798.89,113622.2,183421.09,2015,North Las Vegas
Detective,85044.38,7739.45,11939.49,78518.11,104723.32,183241.43,2015,North Las Vegas
Firefighter Paramedic,86177.28,28088.9,1725.04,66510.09,115991.22,182501.31,2015,North Las Vegas
Police Officer,84570.72,11248.25,22610,63957.79,118428.97,182386.76,2015,North Las Vegas
Police Officer,84164.16,8302.75,11583.34,78154.4,104050.25,182204.65,2015,North Las Vegas
Police Officer,83757.54,7457.68,12886.51,78034.42,104101.73,182136.15,2015,North Las Vegas
Corrections Officer,81318.09,4390.41,17049.15,78791.86,102757.65,181549.51,2015,North Las Vegas
Police Officer,84164.13,14680.57,6341.43,76205.22,105186.13,181391.35,2015,North Las Vegas
Corrections Officer,84245.72,6541.14,12227.87,78315.72,103014.73,181330.45,2015,North Las Vegas
Corrections Officer,83107.28,4346.27,14937.64,78749.21,102391.19,181140.4,2015,North Las Vegas
Police Officer,84570.73,10340.91,8912.11,76977.57,103823.75,180801.32,2015,North Las Vegas
Firefighter Paramedic,90537.64,20923.69,1364.94,67922.72,112826.27,180748.99,2015,North Las Vegas
Police Labor Relations Liaison,93656.3,1816,19613.86,65356.98,115086.16,180443.14,2015,North Las Vegas
Detective,87077.71,1958.81,14356.26,77024.67,103392.78,180417.45,2015,North Las Vegas
Corrections Officer,83351.18,7132.47,12190.18,77686.6,102673.83,180360.43,2015,North Las Vegas
Police Officer,83351.1,7674.69,12107.77,77127.49,103133.56,180261.05,2015,North Las Vegas
Fire Captain,91953.17,690.91,14789.34,72773.26,107433.42,180206.68,2015,North Las Vegas
Police Officer,83350.92,7434.67,12150.69,77203.32,102936.28,180139.6,2015,North Las Vegas
Police Officer,84164.14,12562.17,7706.19,75695.55,104432.5,180128.05,2015,North Las Vegas
EMS Coordinator,88707.73,10260.49,14015.23,67026.61,112983.45,180010.06,2015,North Las Vegas
Police Officer,74028.87,9207.65,21453.05,75197.47,104689.57,179887.04,2015,North Las Vegas
Corrections Officer,81318.08,0,19003.31,79087.81,100321.39,179409.2,2015,North Las Vegas
Police Officer,83757.55,2189.87,14627.89,78710.96,100575.31,179286.27,2015,North Las Vegas
Corrections Officer,84245.75,6264.21,11274.43,77429.12,101784.39,179213.51,2015,North Las Vegas
Police Officer,71708.96,6718.18,25091.93,75642.65,103519.07,179161.72,2015,North Las Vegas
Firefighter Paramedic,84517.3,26303.65,3056.5,65275.51,113877.45,179152.96,2015,North Las Vegas
Firefighter Paramedic,82013.32,31371.04,1291.2,64467.82,114675.56,179143.38,2015,North Las Vegas
Police Officer,83351.05,9764.76,9213.57,76244.48,102329.38,178573.86,2015,North Las Vegas
Police Officer,83757.56,5584.58,11662.31,77346.5,101004.45,178350.95,2015,North Las Vegas
Manager Utilities Operations,36097.95,0,116572.7,25677.81,152670.65,178348.46,2015,North Las Vegas
Police Officer,83757.61,4131.48,12751.7,77673.03,100640.79,178313.82,2015,North Las Vegas
Utilities Financial Manager,110920,0,4436.8,62928.12,115356.8,178284.92,2015,North Las Vegas
Detective,86771.18,4061.67,9741.69,77701.33,100574.54,178275.87,2015,North Las Vegas
Police Officer,83977.29,8632.3,9179.48,76311.89,101789.07,178100.96,2015,North Las Vegas
Police Officer,84164.16,4139.17,12066.44,77686.28,100369.77,178056.05,2015,North Las Vegas
Corrections Officer,81318.03,1547.1,16803.14,78194.68,99668.27,177862.95,2015,North Las Vegas
Firefighter Paramedic,86177.29,24443.59,1125,65891.29,111745.88,177637.17,2015,North Las Vegas
Fire Fighter,81829.18,14952.85,12210.86,68340.58,108992.89,177333.47,2015,North Las Vegas
Fire Engineer,80248.98,27896.11,4628.18,64431.83,112773.27,177205.1,2015,North Las Vegas
Police Officer,83757.56,2323.77,13277.27,77816.25,99358.6,177174.85,2015,North Las Vegas
Police Officer,84164.15,2622.58,12374.31,77970.31,99161.04,177131.35,2015,North Las Vegas
Police Officer,84164.19,2835.58,12374.37,77716.25,99374.14,177090.39,2015,North Las Vegas
Police Officer,81568.96,14152.03,7574.02,73457.99,103295.01,176753,2015,North Las Vegas
Police Officer,84164.14,9780.18,7526.96,75267.47,101471.28,176738.75,2015,North Las Vegas
Police Officer,84164.14,6600.89,9313.13,76360.08,100078.16,176438.24,2015,North Las Vegas
Police Officer,75294.47,13602.09,15402.22,71786.62,104298.78,176085.4,2015,North Las Vegas
Police Officer,71176.16,6129.73,23793.55,74812.7,101099.44,175912.14,2015,North Las Vegas
Fire Engineer,86950.08,14163.92,6861.09,67774.51,107975.09,175749.6,2015,North Las Vegas
Police Officer,84164.12,2148.66,12050.31,77261.86,98363.09,175624.95,2015,North Las Vegas
Firefighter Paramedic,84388.65,24220.06,2025.09,64860.73,110633.8,175494.53,2015,North Las Vegas
Police Officer,82537.75,516.84,14718.64,77238.06,97773.23,175011.29,2015,North Las Vegas
Fire Engineer,80248.86,26190.64,4028.17,63998.35,110467.67,174466.02,2015,North Las Vegas
Police Officer,83350.97,3008.16,11265.78,76695.74,97624.91,174320.65,2015,North Las Vegas
Police Officer,81172.28,11910.99,8071.36,72983.32,101154.63,174137.95,2015,North Las Vegas
Police Officer,74456.51,15379.27,13611.71,70530.28,103447.49,173977.77,2015,North Las Vegas
Police Officer,81172.27,5744.97,12197.7,74641.99,99114.94,173756.93,2015,North Las Vegas
Police Officer,83757.57,12299.24,17632.77,60061.25,113689.58,173750.83,2015,North Las Vegas
Police Officer,84570.72,2239.03,10235.67,76389.96,97045.42,173435.38,2015,North Las Vegas
Police Officer,80911.45,6161.84,10873.66,75343.44,97946.95,173290.39,2015,North Las Vegas
Police Officer,84164.21,4087.15,9080.99,75766.86,97332.35,173099.21,2015,North Las Vegas
Fire Engineer,89629.51,299.08,12335.76,70664.54,102264.35,172928.89,2015,North Las Vegas
Fire Captain,80933.3,18319.5,8279.74,65234.68,107532.54,172767.22,2015,North Las Vegas
Assistant Director of Administrative Services,106730,0,4269.2,61296.04,110999.2,172295.24,2015,North Las Vegas
Police Officer,76029.11,8076.81,15817.28,72141.78,99923.2,172064.98,2015,North Las Vegas
Senior Business Systems Analyst,83301.23,0,44076.52,44224.02,127377.75,171601.77,2015,North Las Vegas
Firefighter Paramedic,90537.75,12878.01,1125,66901.17,104540.76,171441.93,2015,North Las Vegas
Real Property Coordinator,101552.94,0,18405.47,51450.62,119958.41,171409.03,2015,North Las Vegas
Corrections Officer,84186.93,0,10913.24,76212.57,95100.17,171312.74,2015,North Las Vegas
Police Officer,82537.77,2728.3,24581.67,61222.21,109847.74,171069.95,2015,North Las Vegas
Police Officer,84570.72,1665.02,8892.32,75926.15,95128.06,171054.21,2015,North Las Vegas
Detective,88263.21,12510.24,10014.95,59973.17,110788.4,170761.57,2015,North Las Vegas
Senior Engineer,100607.69,15370.68,4024.32,50661.25,120002.69,170663.94,2015,North Las Vegas
Police Officer,83757.55,2920.53,8517.31,75284.33,95195.39,170479.72,2015,North Las Vegas
Water Reclamation Facility Administrator,85337.91,0,35332.28,49575.89,120670.19,170246.08,2015,North Las Vegas
Police Officer,75294.47,4643.6,17770.98,72501.97,97709.05,170211.02,2015,North Las Vegas
Police Officer,80775.6,3916.96,11125.52,74349.5,95818.08,170167.58,2015,North Las Vegas
Police Officer,83757.54,1974.98,8876.35,75252.17,94608.87,169861.04,2015,North Las Vegas
Public Works Inspector lll,86295.89,21793.17,12426.25,49194.36,120515.31,169709.67,2015,North Las Vegas
Police Officer,83757.55,3020.52,8013.87,74888.99,94791.94,169680.93,2015,North Las Vegas
Firefighter Paramedic,90537.72,10992.75,1485.11,66591.93,103015.58,169607.51,2015,North Las Vegas
Police Officer,84570.81,2180.7,7607.28,75203.11,94358.79,169561.9,2015,North Las Vegas
Police Officer,83757.65,3375.28,7323.36,74524.01,94456.29,168980.3,2015,North Las Vegas
Web Architect,108999.99,2391.93,4360,52993.01,115751.92,168744.93,2015,North Las Vegas
Police Officer,83757.66,2354.64,7802.75,74752.87,93915.05,168667.92,2015,North Las Vegas
Manager Police Communications,100608.01,0,14486.98,53367.26,115094.99,168462.25,2015,North Las Vegas
Police Officer,83350.95,858.77,9206.89,75034.44,93416.61,168451.05,2015,North Las Vegas
Police Officer,83351.01,2401.72,8161.5,74261.86,93914.23,168176.09,2015,North Las Vegas
Public Education Specialist,38902.2,1856.8,90091.7,37276.49,130850.7,168127.19,2015,North Las Vegas
Senior Engineer,100607.64,0,14125.36,53209.09,114733,167942.09,2015,North Las Vegas
Information Security Administrator,109268.94,1195.97,4360,52890.14,114824.91,167715.05,2015,North Las Vegas
Police Officer,83757.58,3336.62,6176.67,73916.65,93270.87,167187.52,2015,North Las Vegas
Police Officer,83757.54,1670.07,7411.5,74347.28,92839.11,167186.39,2015,North Las Vegas
Police Officer,82537.81,1733.3,8581.83,74241.02,92852.94,167093.96,2015,North Las Vegas
Police Officer,82537.78,1607.77,8757.03,73771.86,92902.58,166674.44,2015,North Las Vegas
Police Officer,83757.56,2267.41,6683.31,73804.42,92708.28,166512.7,2015,North Las Vegas
Firefighter Paramedic,78512.3,24483.47,1725.06,61541.65,104720.83,166262.48,2015,North Las Vegas
Database Administrator,109000,0,4360,52819.59,113360,166179.59,2015,North Las Vegas
Business Applications Supervisor,108999.92,0,4360,52819.59,113359.92,166179.51,2015,North Las Vegas
Database Administrator,108999.94,0,4360,52779.92,113359.94,166139.86,2015,North Las Vegas
Corrections Officer,84083.06,4479.84,16337.45,61166.55,104900.35,166066.9,2015,North Las Vegas
Police Officer,75976.57,2827.94,15457.72,71797.79,94262.23,166060.02,2015,North Las Vegas
Police Officer,72758.48,3122.4,17855.72,72287.49,93736.6,166024.09,2015,North Las Vegas
Deputy  Marshal,82212.58,1716.99,8406.87,73557.19,92336.44,165893.63,2015,North Las Vegas
Firefighter Paramedic,75776.75,27183.96,2524.5,60400.16,105485.21,165885.37,2015,North Las Vegas
Police Officer,81318.11,3654.28,21855.01,58997.92,106827.4,165825.32,2015,North Las Vegas
Police Officer,81172.27,12279.7,15731.91,56370.04,109183.88,165553.92,2015,North Las Vegas
Fire Fighter,81829.01,16081.51,4028.14,63525.33,101938.66,165463.99,2015,North Las Vegas
Police Officer,81172.28,4721.41,7291.37,72032.79,93185.06,165217.85,2015,North Las Vegas
Police Officer,56922.7,241.32,47078.01,60890.25,104242.03,165132.28,2015,North Las Vegas
Police Officer,81319.38,1548.46,12132.48,69983.2,95000.32,164983.52,2015,North Las Vegas
Structural Plans Examiner,86296.08,29053.06,3451.84,46106.08,118800.98,164907.06,2015,North Las Vegas
GPS Survey Coordinator,96939.84,0,15594.49,52104.05,112534.33,164638.38,2015,North Las Vegas
Deputy  Marshal,82358.99,434.6,8324.87,73442.56,91118.46,164561.02,2015,North Las Vegas
Technical Services Supervisor,86296.07,13764.17,15241.23,49225.78,115301.47,164527.25,2015,North Las Vegas
Police Officer,74051.31,5334.39,28392.12,56060.21,107777.82,163838.03,2015,North Las Vegas
Police Officer,72758.39,11571.81,10546.95,68920.31,94877.15,163797.46,2015,North Las Vegas
Director of Neighborhood & Leisure Services,102764.16,0,3004.8,57998.22,105768.96,163767.18,2015,North Las Vegas
Director of Library,100607.99,0,4024.32,59065.18,104632.31,163697.49,2015,North Las Vegas
Police Officer,75294.46,2058.15,16443.48,69879.82,93796.09,163675.91,2015,North Las Vegas
Police Officer,74874.8,1845.02,15824.97,71080.18,92544.79,163624.97,2015,North Las Vegas
Budget Manager,100607.98,0,4024.32,58934.81,104632.3,163567.11,2015,North Las Vegas
Police Officer,74927.21,2909.45,14453.4,70900.1,92290.06,163190.16,2015,North Las Vegas
Fire Engineer,89629.45,2880,4028.13,66610.79,96537.58,163148.37,2015,North Las Vegas
Police Officer,75661.75,3202.53,13718.86,70465.56,92583.14,163048.7,2015,North Las Vegas
Police Officer,80437.7,2727.19,8409.26,71200.57,91574.15,162774.72,2015,North Las Vegas
Deputy  Marshal,81318.06,160.86,8281.03,72819.14,89759.95,162579.09,2015,North Las Vegas
Police Officer,71525.96,4819.75,29522.42,56679.81,105868.13,162547.94,2015,North Las Vegas
Police Officer,83757.58,7619.58,12219.32,58844.81,103596.48,162441.29,2015,North Las Vegas
Fire Engineer,89629.52,2582.86,4028.14,66181.62,96240.52,162422.14,2015,North Las Vegas
Police Officer,75609.35,2686.64,13746.99,70275.22,92042.98,162318.2,2015,North Las Vegas
Police Officer,76029.08,2091.16,13351.57,70476.75,91471.81,161948.56,2015,North Las Vegas
Police Officer,74388.26,3745.22,13990.08,69769.48,92123.56,161893.04,2015,North Las Vegas
Fire Fighter,81829.04,12369.74,4028.17,63007.54,98226.95,161234.49,2015,North Las Vegas
Police Officer,71621.61,3931.33,16233.81,69431.45,91786.75,161218.2,2015,North Las Vegas
Firefighter Paramedic,75776.92,23514.17,2025.09,59791.6,101316.18,161107.78,2015,North Las Vegas
Fire Captain,86010.88,7173.59,3850.4,63911.2,97034.87,160946.07,2015,North Las Vegas
Fire Fighter,81828.94,15685.39,1125,62149.59,98639.33,160788.92,2015,North Las Vegas
City Clerk,98464,0,3938.56,58215.08,102402.56,160617.64,2015,North Las Vegas
Firefighter Paramedic,90537.72,2630.81,1725.06,65564.92,94893.59,160458.51,2015,North Las Vegas
